ID;Imię;Nazwisko;Płeć;Wiek;Wygląd;Punkty;Zdolność;Sekret;Dopełniacz;Głos;ID identyfikatora;ID legitymacji;Invert;Dodatkowe informacje
370602661776588802;Ezra;???;Mężczyzna ;21;Posiada blond włosy z widocznymi oznakami siwizny, lewa część jego twarzy wypełniona dość licznymi bliznami, jedno czarne i jedno białe oko, dość szeroki uśmiech. Ubiera się dość ekstrawagancko zakrywając większość swojego ciała ubraniami. Często nosi peleryny. Chodzi najczęściej w swojej oryginalnej formie z 5 rogami, gadzim ogonem i jednym skrzydłem. ;3;Jego karty są świadome;Ezra jest drugim dyrektorem oraz władcą piekła razem z Ezekielem;Ezry;None;747122016032653453;747122093446922331;NIE;Ma zawsze choć jedną talię kart w kieszeni, nigdy nie przestaje się uśmiechać NIGDY, jest af lojalny, kocha magię i magiczne sztuczki, he kinda creepy tho
330392410964361217;Minamimoto;Sho;Mężczyzna;18;Uwielbia chodzić na czarno w brzydkiej czapce z daszkiem. Lewa dłoń wytatuowana na czarno. Lubi wyglądać edgy.;1;Potrafi przynajmniej 3141 miejsc po przecinku liczby pi;Chce zabić Ezekiela i przejąć jego zdolności;Minamimoto;None;747122017140211812;747122110316412958;TAK;Jest fanatykiem królowej nauk. e^(i*pi)+1=0, Często krzyczy przez megafon oraz rzuca tekstami które tylko on sam rozumie. Jest aseksualny
541204178941509673;Ezekiel;???;Brak;2147483647;Wygląda zbyt młodo, jak na swój wiek. Najczęściej przyjmuje formę szesnastolatka z ciemnymi włosami, które zakrywają jego uszy. Spośród czarnych loków wyłaniają się jego rogi. Ma oczy w kolorze czystej bieli. Ma 1,6m wysokości;0;bruh, he's op;Cała szkoła istnieje tylko w jego głowie. Wszyscy uczniowie oraz Minamimoto to jest projekcja jego wyobraźni. Jedynie Ezra jest Ezrą;Ezekiela;None;747122018012495943;747122126724792320;NIE;Także no. Jest demonem. No i dyrektorem. I w sumie to po prostu chce patrzeć jak ziemia płonie. Jest tylko jedna osoba wobec której nie czuje chęci mordu...
387383734992633859;Milenka;Shirumi;dziewczynka;15;bardzo szczupła, wysoka, jasne do ramion, szerokie ubranka;-2;Ma dodatkowe +15pp do udanego morderstwa;Milenka lubiła zwierzątka. Bardzo bardzo lubiła zwierzątka;Milenki;None;747122019291889664;747122142134403213;NIE;
294476268416532480;Nicholas;Emmer;Mężczyzna;22;włosy brąz, oczy błękit, postury chudej lekko atletycznej niewysoki, Koszula czerwień, kamizelka biała, czarny krawat, brązowy płaszcz z logiem skrzydła i napisem ASCJ;-1;Skradańsko: Dodatkowe +10pp do udanej kradzieży oraz +5pp do udanego morderstwa;Jest cyborgiem: od wewnątrz uda ma ogniwo które można wyjąć;Nicholasa;None;747122020382277763;747122157141622855;NIE;Zdał szkolenie CQC
261675004654125067;Shizune;Sunrise ;? ;14;Jeździ na wózku, ma na sobie marynarski mundurek;-1;10pp szansy na mniejsze bycie zamordowanym, oraz dodatkowe 5pp na morderstwo;Tak naprawdę może wstać z wózka kiedy tylko chce. Also, He's a guy;Shizune;None;747122038002679848;747122199084793948;NIE;Shizune jest sierotą, od piątego roku życia wraz z siostrą bliźniaczką Lią żyli z odszkodowania, które otrzymali w wyniku tragicznej śmierci ich rodziców. Państwo zostawiło ich samo sobie, a rodzina się ich wyparła, mieszkali sami, sami musieli o siebie zadbać. Zawsze widziano ich razem, nigdy się nie rozdzielali, wzajemnie się uzupełniali. W wieku 10 lat Shizune i Lia mieli wypadek drogowy na wycieczce szkolnej, z całej osiemnastoosobowej klasy przeżyli tylko Shizune, Lia i ich nauczyciel. Shizune zawdzięcza swoje życie swojemu nauczycielowi, który to ukrył Shizune w swoich ramionach.Nauczyciel Lii i Shizune został inwalidą i jeździ na wózku, zaś Lia popadła w śpiączkę. Od tego momentu Shizune jeździ na wózku i do nikogo się nie odzywa, komunikuje się pisząc i rysując.
561628296379498496;Bartosz;Konieczny ;Mężczyzna ;20;aktualny do awatara jaki posiada użytkownik konta;-1;Każdy kto będzie chciał go zabić będzie miał 15pp mniejsze szanse na udane morderstwo;Włam na posesję oligarchy i wykradzenie pieniędzy. ( i możliwe że poufnych danych które mają połączenie z obecnym dyrektorem szkoły.);Bartosza ;None;747122039319429220;747122219313922088;NIE;mistrz przebrań, potrafi zmienić głos, haker, nieźle śpiewa, dobry z matmy, nieźle gotuje
194029589901737984;Dio;Eraclea;Mężczyzna;20;Rosły, szczupły o pociągłej twarzy, dość blady. Ubrany w przewiewne, lub przylegające do ciała ubrania, przeważnie w jasnych kolorach, lub czerni. Zielone oczy i niemal białe włosy towarzyszą częstemu uśmiechowi na twarzy.;1;bonus do zabójstwa +20pp przy użyciu broni dystansowej po zażyciu herbaty. Dodatkowo kula/pocisk będzie niemożliwy do znalezienia. Jako debuff, po zażyciu herbaty (szczególnie w nocy), Dio ma duży problem zasnąć i może być nieprzytomny przez pół dnia następnego.;Dio był kiedyś łatwowiernym człowiekiem, który widział w każdym przyjaciela. |Niestety w końcu trafił się taki osobnik, który go wykorzystał co złamało psychikę Dio na pewien czas. Od teraz tworząc jakąkolwiek znajomość stoi za nim strach, który paraliżuje go na myśl, że ten ktoś może go wykorzystać przez co często ma za dużo negatywnych scenariuszy w głowie.;Dio;None;747122040317673492;747122237806477372;NIE;Bardzo pozytywny członek bogatej rodziny. Pomocny, uśmiechnięty. Uwielbia Sci-Fi i dużo wie o nowoczesnych technologiach. Szanuje wszelkie życie, kocha akwarystykę. W wolnych chwilach zgłębia wiedzę na temat Warhammera 40k, lub rysuje przedmioty/postacie/stworzenia do nieistniejącego świata w swej głowie. Jest poza tym strasznym gadułą i bardzo lubi wszelkie aktywności w wodzie. Jest mistrzem robienia kanapek i tostów, oraz pożeraczem lodów. Mało kto wie ale jest też wyśmienitym strzelcem i kiedyś próbował szermierki. Dla przyjaciół zrobi wszystko, choc zanim nim zostaniesz może być wobec cb nieufny...
590925907942965249;Eamon;Arnaud;Mężczyzna;20;Czarne, kręcone włosy, wyraźne rysy, wysoki. Elegancko ubrany.;2;Może rozpoznać każdy przedmiot w szkole;Ojciec Eamona został papieżem, dzięki paktowi z demonem o imieniu Micah;Eamona;None;747122041412386987;747122256139911290;NIE;https://docs.google.com/document/d/12KC8ssVzhcOakLD2Vjm6lxU7xVlUwd_73iSvIqwyWdA/edit
396768065272021003;Gabriel;Müller;Mężczyzna;16;zdj;-2;Dodatkowe +15pp do udanego morderstwa;Podczas zabawy w wieku 8 la tzabił swojego królika niechcacy(albo chcący?) i schował go pod swoje łóżko z ktorego pozniej zaczelo smierdziec;Gabriela;None;747122042800832592;747122274875867227;NIE;Rodzice go nie kochają ,ma problemy ze samym sobą ,jest gejem, ulubiony jego kolor to fioletowy ,lubi kwiatki, lubi pic kawę mrożoną
